Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
78062;Beynes;974;18;1334;25;1021;19;2097;39;1,8
77033;Bezalles;49;29;39;23;36;21;44;26;1,43
95063;Bezons;6811;34;4648;23;3378;17;5172;26;1,35
91064;Bièvres;442;14;510;16;471;15;1818;56;2,14
77034;Blandy;121;22;142;26;87;16;195;36;1,66
91067;Blandy;23;26;35;39;20;22;11;12;1,19
78068;Blaru;140;22;171;27;128;20;199;31;1,6
77035;Blennes;87;21;122;29;95;23;115;27;1,56
93008;Bobigny;16459;49;5966;18;5247;16;6157;18;1,04
91069;Boigneville;76;25;90;29;48;15;96;31;1,52
